Plate1 (CFU/mL),plate2 (CFU/mL),AVG,SE
1.83E+06,2.40E+06,2.12E+06,2.83E+05
2.40E+06,2.33E+06,2.37E+06,3.33E+04
2.23E+06,2.23E+06,2.23E+06,0.00E+00
2.20E+07,2.20E+07,2.20E+07,0.00E+00
4.23E+07,3.53E+07,3.88E+07,3.50E+06
1.70E+07,1.47E+07,1.58E+07,1.17E+06
1.53E+07,2.03E+07,1.78E+07,2.50E+06
3.03E+07,2.97E+07,3.00E+07,3.33E+05
4.20E+07,3.87E+07,4.03E+07,1.67E+06
1.10E+08,7.67E+07,9.33E+07,1.67E+07
7.67E+07,8.00E+07,7.83E+07,1.67E+06
1.77E+08,1.53E+08,1.65E+08,1.17E+07
2.27E+09,2.03E+09,2.15E+09,1.17E+08
1.97E+08,1.30E+08,1.63E+08,3.33E+07
2.37E+08,2.63E+08,2.50E+08,1.33E+07
1.83E+08,2.37E+08,2.10E+08,2.67E+07
2.43E+08,1.67E+08,2.05E+08,3.83E+07
1.77E+08,1.17E+08,1.47E+08,3.00E+07
2.47E+08,2.37E+08,2.42E+08,5.00E+06
1.93E+08,2.40E+08,2.17E+08,2.33E+07
5.67E+08,3.67E+08,4.67E+08,1.00E+08
2.93E+08,2.43E+08,2.68E+08,2.50E+07
3.33E+08,3.67E+08,3.50E+08,1.67E+07
4.33E+08,6.67E+08,5.50E+08,1.17E+08
3.40E+08,3.10E+08,3.25E+08,1.50E+07
